ASUS STRIX GeForce GTX 1050 Ti 4GB GDDR5 PCI-E 3.0 Graphics Card,$,294,.01,55
GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TG1 GAMING-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,$,176,.99,56
ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510E-10L 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Low Profile Video Card,$,164,.99,57
MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4G OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$,154,.99,58
ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510B-10L 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,$,159,.99,59
ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,$,159,.99,60
PNY GeForce GTX 1050 Ti DirectX 12 VCGGTX1050T4PB 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$,159,.99,61
ASUS GeForce GTX 1050 Ti PH-GTX1050TI-4G 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,$,162,.99,62
ASUS GeForce GTX 1050 Ti 4GB ROG STRIX HDMI 2.0 DP 1.4 Gaming Graphics Card (STRIX-GTX1050TI-4G-GAMING),$,184,.99,63
PNY GeForce GTX 1050 Ti DirectX 12 GMX105TN3H4FW2KTP 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$,149,.99,64
"Inno3D NVIDIA Geforce GTX 1050 TI Compact  4GB DDR5 Video Graphics Card HDMI,DP DVI for Desktop PC and ITX",$,235,.88,65
"Inno3D NVIDIA Geforce GTX 1050 TI 4GB  DDR5 SDRAM Video Graphics Card with fan HDMI,DP DVI",$,246,.98,66
Inno3D NVIDIA GeForce GTX 1050Ti Gaming OC 4GB GDDR5 Video Graphics Card,$,226,.77,67
"AMD RYZEN 3 1200 4-Core 3.1 GHz, GIGABYTE GA-AB350-Gaming 3 MB, G.SKILL ...",$,596,.93,68
Inno3D Nvidia Geforce GTX 1050 TI OC 4GB DDR5 2x Cooling  Fan with Heatsink  Video Graphics Card  DP+HDMI+DVI support,$,240,.68,69
MSI NVIDIA GeForce GTX 1050 TI 2GB GDDR5 DVI/HDMI/DisplayPort Low Profile,$,237,.99,70
"Phanteks Eclipse P400 Series Case, AMD RYZEN 3 1200 4-Core 3.1 GHz CPU, ASUS ROG ...",$,615,.93,71
Video graphics Card Inno3D NVIDIA GeForce GTX 1050Ti Gaming OC 4GB GDDR5,$,241,.99,72
